,??,==,!=,<,>,<=,>=,+,-,*,/,!,(,t_int,t_string,t_double,id,",",),$
exp,,,,,,,,,,,,,1,1,1,1,1,,,
exp',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
exp1,,,,,,,,,,,,,3,3,3,3,3,,,0
exp1',0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,,0
exp2,,,,,,,,,,,,,5,5,5,5,5,,,0
exp2',0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,,0
exp3,,,,,,,,,,,,,7,7,7,7,7,,,0
exp3',0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,,0
exp4,,,,,,,,,,,,,9,9,9,9,9,,,0
exp4',0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,,0
exp5,,,,,,,,,,,,,11,11,11,11,11,,,0
args,,,,,,,,,,,,,12,,,,,,,0
arg_list,,,,,,,,,,,,,11,11,11,11,11,,,0
e_id,,,,,,,,,,,,,,,,,16,,,0
arg_list_n,,,,,,,,,,,,,,,,,,18,,0
exp_id,,,,,,,,,,,,,23,,,,,,,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"TODO? Matchování např. exp1' s eps? (""Jakoby nematchnutí s aktuálním tokenem"")",,,,,,,,,,,,,,,,,,,,
